"from_team","to_team","weight","from_connections","to_connections"
167,1110,48,7,13
167,1468,16,2,4
168,194,26,4,12
168,436,10,3,4
168,1548,14,2,7
168,5127,24,2,9
172,180,22,7,5
172,543,36,3,15
172,1861,30,8,2
173,2774,16,3,3
174,381,12,3,4
174,1741,26,6,8
174,3047,42,3,5
176,834,30,9,6
178,506,14,2,4
180,270,8,3,2
180,1630,22,11,2
183,231,42,15,2
183,266,14,7,2
183,2623,46,4,17
184,1519,36,4,9
184,2288,58,5,10
184,5217,16,2,4
185,1205,52,3,20
188,1406,22,2,10
188,5479,28,2,7
189,465,82,15,22
189,786,44,5,15
189,1250,62,21,2
189,2504,4,2,2
189,2976,12,2,3
191,263,52,4,13
191,266,166,16,11
191,1308,54,7,7
192,241,10,2,5
192,751,24,10,4
194,376,22,11,2
194,2125,24,9,3
194,3001,14,2,4
194,5861,26,2,7
201,843,8,2,3
201,1148,44,10,2
204,206,40,6,15
204,220,70,32,5
204,262,6,2,3
204,266,16,2,8
204,288,124,5,24
204,499,18,2,7
204,1983,56,3,11
205,1627,18,2,9
205,2322,28,2,11
206,220,6,3,2
207,2419,52,2,14
207,2501,80,2,21
207,2600,66,2,18
211,344,4,2,2
216,266,78,27,12
216,373,4,2,2
217,2652,14,6,2
221,264,28,7,2
221,2559,22,2,6
221,2675,16,2,7
222,2223,12,5,2
224,1007,10,4,2
226,311,24,6,2
227,394,18,4,5
227,1094,34,10,6
227,2462,20,3,5
233,241,18,4,4
233,2632,8,2,2
233,2644,28,2,10
233,2916,16,2,4
233,2981,18,2,4
237,648,68,10,5
239,2019,8,4,2
240,268,22,2,9
240,342,76,20,8
240,1915,10,4,3
240,2623,6,2,2
243,266,34,14,3
244,360,12,2,5
244,373,42,18,7
244,832,14,2,5
246,342,138,25,30
246,704,40,2,10
246,2082,16,2,4
246,3012,66,4,11
246,3064,44,3,12
246,5423,24,2,6
246,5731,8,2,3
250,1129,6,3,2
250,2446,28,2,13
251,1034,32,3,8
251,2155,18,6,3
251,2545,8,4,2
253,266,92,32,8
253,270,8,2,4
253,380,138,46,11
253,444,4,2,2
253,618,14,2,6
253,829,98,33,10
254,2692,38,3,9
255,297,34,8,2
256,1399,6,2,3
256,1975,16,4,2
257,2263,20,4,2
258,1075,28,7,3
259,4643,16,2,5
262,489,24,2,6
262,1145,8,3,2
262,1608,6,3,2
262,1846,16,8,2
262,3009,8,2,2
263,270,98,4,48
263,327,180,20,12
263,1070,20,7,3
263,1424,50,13,10
263,2023,16,7,2
263,2252,18,7,2
265,2077,16,4,2
266,380,6,3,2
266,829,12,2,4
266,1052,12,2,6
266,1839,22,2,11
266,2006,30,8,4
270,380,68,14,9
270,382,26,3,5
270,434,22,5,4
